server, uid, login_day_of_week, login_month, login_day, login_year, login_timestamp, logout_day_of_week, logout_month, logout_day, logout_year, logout_timestamp, still_logged_in_as_of, duration_days, duration_hours, duration_minutes 
Marissas-MacBook-Pro-2.local,yanxin,Fri,May,18,2018,21:54:04,Fri,May,18,2018,21:58:30,,0,00,04
Marissas-MacBook-Pro-2.local,luisch,Fri,May,18,2018,21:48:21,Fri,May,18,2018,22:08:14,,0,00,19
Marissas-MacBook-Pro-2.local,kad,Fri,May,18,2018,21:47:30,,,,,,Fri May 18 2018 11:34:23,,,
Marissas-MacBook-Pro-2.local,luisch,Fri,May,18,2018,21:44:14,Fri,May,18,2018,22:08:12,,0,00,23
Marissas-MacBook-Pro-2.local,annie823,Fri,May,18,2018,19:26:04,,,,,,Fri May 18 2018 11:34:23,,,
Marissas-MacBook-Pro-2.local,annie823,Fri,May,18,2018,19:25:41,,,,,,Fri May 18 2018 11:34:23,,,
Marissas-MacBook-Pro-2.local,mlecoz,Fri,May,18,2018,19:07:56,,,,,,Fri May 18 2018 11:34:23,,,
Marissas-MacBook-Pro-2.local,mlecoz,Fri,May,18,2018,17:26:22,Fri,May,18,2018,19:47:20,,0,02,20
Marissas-MacBook-Pro-2.local,mlecoz,Fri,May,18,2018,16:57:54,Fri,May,18,2018,17:25:41,,0,00,27
Marissas-MacBook-Pro-2.local,gszypko,Fri,May,18,2018,15:03:24,Fri,May,18,2018,19:25:01,,0,04,21
Marissas-MacBook-Pro-2.local,luisch,Fri,May,18,2018,14:59:39,Fri,May,18,2018,15:17:20,,0,00,17
Marissas-MacBook-Pro-2.local,luisch,Fri,May,18,2018,14:54:47,Fri,May,18,2018,15:16:15,,0,00,21
Marissas-MacBook-Pro-2.local,ajsheeha,Fri,May,18,2018,14:45:39,Fri,May,18,2018,14:55:01,,0,00,09
Marissas-MacBook-Pro-2.local,hnich,Fri,May,18,2018,14:00:41,Fri,May,18,2018,17:27:31,,0,03,26
Marissas-MacBook-Pro-2.local,babagadi,Fri,May,18,2018,14:00:00,Fri,May,18,2018,16:19:15,,0,02,19
Marissas-MacBook-Pro-2.local,hnich,Fri,May,18,2018,13:59:39,Fri,May,18,2018,15:07:39,,0,01,08
Marissas-MacBook-Pro-2.local,kad,Fri,May,18,2018,13:53:08,Fri,May,18,2018,14:12:44,,0,00,19
Marissas-MacBook-Pro-2.local,luisch,Fri,May,18,2018,13:44:21,Fri,May,18,2018,16:48:12,,0,03,03
Marissas-MacBook-Pro-2.local,ss98,Fri,May,18,2018,13:35:17,Fri,May,18,2018,13:36:42,,0,00,01
Marissas-MacBook-Pro-2.local,luisch,Fri,May,18,2018,13:29:58,Fri,May,18,2018,13:44:02,,0,00,14
Marissas-MacBook-Pro-2.local,luisch,Fri,May,18,2018,13:26:59,Fri,May,18,2018,16:48:12,,0,03,21
Marissas-MacBook-Pro-2.local,dmwhang,Fri,May,18,2018,13:09:32,Fri,May,18,2018,15:26:05,,0,02,16
Marissas-MacBook-Pro-2.local,johnconn,Fri,May,18,2018,13:05:16,Fri,May,18,2018,15:31:44,,0,02,26
Marissas-MacBook-Pro-2.local,tongxu,Fri,May,18,2018,12:57:00,Fri,May,18,2018,15:29:33,,0,02,32
Marissas-MacBook-Pro-2.local,alexisbh,Fri,May,18,2018,12:56:54,Fri,May,18,2018,12:59:12,,0,00,02
Marissas-MacBook-Pro-2.local,yanxin,Fri,May,18,2018,12:54:01,Fri,May,18,2018,14:12:10,,0,01,18
Marissas-MacBook-Pro-2.local,yanxin,Fri,May,18,2018,12:50:18,Fri,May,18,2018,14:12:13,,0,01,21
Marissas-MacBook-Pro-2.local,luisch,Fri,May,18,2018,12:49:01,Fri,May,18,2018,12:53:09,,0,00,04
Marissas-MacBook-Pro-2.local,olivermc,Fri,May,18,2018,12:07:34,Fri,May,18,2018,15:12:05,,0,03,04
Marissas-MacBook-Pro-2.local,tongxu,Fri,May,18,2018,11:44:39,Fri,May,18,2018,14:37:08,,0,02,52
